ID,Warehouse Name,Company
AMS0081,SUBJAIL NILAKOTTAI FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0082,SUBJAIL PAZHANI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0083,SUBJAIL THIRUMANGALAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0084,SUBJAIL USILAMPATTI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0085,SUBJAIL UTHAMAPALAYAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0086,SUBJAIL VEDASANDHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0087,SUBJAL PERIYAKULAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0088,MADURAI CENTRAL JAIL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0089,SUBJAIL MUDUKULATHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0090,SUBJAIL PARAMAKUDI FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0091,SUBJAIL THIRUPATHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0092,SUBJAIL SIVGANGAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0093,SUBJAIL SRIVALLIPUTHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0094,DISTRICT JAIL VIRUDHUNAGAR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0095,DISTRICT JAIL RAMANATHAPURAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0096,SUBJAIL ARUPPUKOTTAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0097,SPW MADURAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0098,OPEN AIR PRISON PURASADAIUDAIPU,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0099,CENTRE PRISON  PALAYANKOTTAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0100,FEMALE SUBJAIL  KOKKIRAKULAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0101,SUBJAIL AMBASAMUDRAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0102,SUBJAIL KOVILPATTI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0103,SUBJAIL KUZHITHURAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0104,DISTRICT JAIL NAGARKOIL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0105,SUBJAIL SANKARANKOIL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0106,SUBJAIL SRIVAIGUNDAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0107,SUBJAIL THACKALAI FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0108,SUBJAIL TENKASI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0109,DISTRICT JAIL TUTICORIN,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0110,BORSTON SCHOOL NANGUNERI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0111,BROSTON SCHOOL PUDUKOTTAI &DISTRICT JAIL PUDUKOTTAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0112,SUBJAIL ARANDHANGI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0113,SUBJAIL KUMBAKONAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0114,SUBJAIL MANNARKUDI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0115,SUBJAIL MAYILADUTHURAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0116,SUBJAIL NAGAPATTINAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0117,SUBJAIL NANINILAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0118,SUBJAIL PAPANASAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0119,SUBJAIL SIRKAZHI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0120,"SUBJAIL THANJAVUR
",VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0121,SUBJAIL THARANGAMPADI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0122,SUBJAIL THIRUMAYAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0123,SUBJAIL THIRUTHURAIPOONDI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0124,SUBJAIL THIRUVARUR FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0125,SUBJAIL THIRUVADAIMARUTHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0126,SUBJAIL VANIYAMPADI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
